page_number,id,match_string,start_pos,end_pos
97,Agnolo (of Siena),AGNOLO,13,19
97,Agnolo (of Siena),AGNOLO,50,56
97,Agnolo (of Siena),Agnolo,204,210
97,Agnolo (of Siena),Agnolo,905,911
98,Agnolo (of Siena),AGNOLO,21,27
98,Agnolo (of Siena),Agnolo,358,364
98,Agnolo (of Siena),Agnolo,465,471
98,Agnolo (of Siena),Agnolo,731,737
98,Agnolo (of Siena),Agnolo,968,974
98,Agnolo (of Siena),Agnolo,2279,2285
99,Agnolo (of Siena),AGNOLO,21,27
99,Agnolo (of Siena),Agnolo,168,174
99,Agnolo (of Siena),Agnolo,952,958
99,Agnolo (of Siena),Agnolo,1490,1496
99,Agnolo (of Siena),Agnolo,1718,1724
100,Agnolo (of Siena),AGNOLO,21,27
100,Agnolo (of Siena),Agnolo,2109,2115
101,Agnolo (of Siena),AGNOLO,21,27
101,Agnolo (of Siena),Agnolo,599,605
101,Agnolo (of Siena),Agnolo,1453,1459
102,Agnolo (of Siena),AGNOLO,21,27
102,Agnolo (of Siena),Agnolo,146,152
102,Agnolo (of Siena),Agnolo,1600,1606
102,Agnolo (of Siena),Agnolo,2266,2272
103,Agnolo (of Siena),AGNOLO,21,27
103,Agnolo (of Siena),Agnolo,531,537
103,Agnolo (of Siena),Agnolo,1116,1122
104,Agnolo (of Siena),AGNOLO,21,27
104,Agnolo (of Siena),Agnolo,1937,1943
105,Agnolo (of Siena),AGNOLO,21,27
105,Agnolo (of Siena),Agnolo,783,789
105,Agnolo (of Siena),Agnolo,1351,1357
39,Agnolo (of Siena),Agnolo,1114,1120
217,Agnolo Gaddi,AGNOLO GADDI,0,12
217,Agnolo Gaddi,AGNOLO GADDI,21,33
217,Agnolo Gaddi,Agnolo,359,365
217,Agnolo Gaddi,Agnolo,644,650
217,Agnolo Gaddi,Agnolo,954,960
217,Agnolo Gaddi,Agnolo,1025,1031
217,Agnolo Gaddi,Agnolo,1747,1753
217,Agnolo Gaddi,Gaddi,180,185
217,Agnolo Gaddi,Gaddi,490,495
218,Agnolo Gaddi,AGNOLO GADDI,8,20
218,Agnolo Gaddi,Agnolo,836,842
218,Agnolo Gaddi,Agnolo,1163,1169
218,Agnolo Gaddi,Agnolo,2011,2017
219,Agnolo Gaddi,AGNOLO GADDI,8,20
219,Agnolo Gaddi,Agnolo Gaddi,621,633
219,Agnolo Gaddi,Agnolo,751,757
219,Agnolo Gaddi,Agnolo,1583,1589
219,Agnolo Gaddi,Agnolo,2027,2033
220,Agnolo Gaddi,AGNOLO GADDI,8,20
220,Agnolo Gaddi,Agnolo,251,257
220,Agnolo Gaddi,Agnolo,1217,1223
220,Agnolo Gaddi,Agnolo,1814,1820
221,Agnolo Gaddi,AGNOLO GADDI,8,20
221,Agnolo Gaddi,Agnolo,281,287
221,Agnolo Gaddi,Agnolo,1073,1079
221,Agnolo Gaddi,Agnolo,1478,1484
221,Agnolo Gaddi,Agnolo,2016,2022
221,Agnolo Gaddi,Gaddi,1126,1131
222,Agnolo Gaddi,AGNOLO GADDI,8,20
222,Agnolo Gaddi,Agnolo,1313,1319
222,Agnolo Gaddi,Agnolo,2130,2136
223,Agnolo Gaddi,AGNOLO GADDI,8,20
223,Agnolo Gaddi,Agnolo,205,211
185,Agnolo Gaddi,Agnolo,1221,1227
185,Agnolo Gaddi,GADDI,15,20
185,Agnolo Gaddi,Gaddi,585,590
186,Agnolo Gaddi,Agnolo,231,237
186,Agnolo Gaddi,GADDI,15,20
208,Agnolo di Lorenzo,Agnolo di Lorenzo,972,989
79,Agobbio,Agobbio,1207,1214
79,Agobbio,Agobbio,2149,2156
97,Agostino (of Siena),AGOSTINO,0,8
97,Agostino (of Siena),AGOSTINO,37,45
97,Agostino (of Siena),Agostino,191,199
97,Agostino (of Siena),Agostino,892,900
97,Agostino (of Siena),Agostino,1372,1380
98,Agostino (of Siena),AGOSTINO,8,16
98,Agostino (of Siena),Agostino,280,288
98,Agostino (of Siena),Agostino,477,485
98,Agostino (of Siena),Agostino,693,701
98,Agostino (of Siena),Agostino,775,783
98,Agostino (of Siena),Agostino,1097,1105
98,Agostino (of Siena),Agostino,1494,1502
98,Agostino (of Siena),Agostino,2266,2274
99,Agostino (of Siena),AGOSTINO,8,16
99,Agostino (of Siena),Agostino,155,163
99,Agostino (of Siena),Agostino,939,947
99,Agostino (of Siena),Agostino,1477,1485
99,Agostino (of Siena),Agostino,1705,1713
